	Price	Age	KM	FuelType	HP	MetColor	Doors	Weight
0	13500	23	46986	Diesel	90	1	4	1165
1	13750	23	72937	Diesel	90	1	4	1165
2	13950	24	41711	Diesel	90		4	1165
3	14950	26	48000	Diesel	90	0	4	1165
4	13750	30	38500	Diesel	90	0	4	1170
5	12950	32	61000	Diesel	90	0	4	1170
6	16900	27	Nan	Diesel	NaN	nan	4	1245
7	18600	30	75889		90	1	4	1245
8	21500	27	19700	Petrol	192	0	2	1185
9	12950	23	71138	Diesel	Nan	nan	2	1105
10	20950	25	31461	Petrol	192	0	2	1185
11	19950	22	43610	Petrol	192	0	2	1185
12	19600	25	32189	Petrol	192	0	4	1185
13	21500	31	23000	Petrol	192	1	4	1185
14	22500	32	34131	Petrol	192	1	2	1185
15	22000	28	18739	Petrol	Nan	0	3	1185
16	21500	27	19700	Petrol	192	0	2	1185
17	17950	24	21716	Petrol	110	1	4	1105
18	Nan	Nan	NaN	NaN	NaN	NAN	Nan	NaN
19	16950	30	64359	Petrol	110	1	4	1105
20	15950	30	67660	Petrol	110	1	4	1105

