,Cost,age,km,Fossilfuel,hp,metcolour,door number,heaviness
0,13750.0,23.0,72937.0,Diesel,90.0,1.0,4.0,1165.0
1,13950.0,24.0,41711.0,Diesel,90.0,1.0,4.0,1165.0
2,14950.0,26.0,48000.0,Diesel,90.0,0.0,4.0,1165.0
3,13750.0,30.0,38500.0,Diesel,90.0,0.0,4.0,1170.0
4,12950.0,32.0,61000.0,Diesel,90.0,0.0,4.0,1170.0
5,16900.0,27.0,61000.0,Diesel,90.0,0.0,4.0,1245.0
6,18600.0,30.0,75889.0,Diesel,90.0,1.0,4.0,1245.0
7,21500.0,27.0,19700.0,Petrol,192.0,0.0,2.0,1185.0
8,12950.0,23.0,71138.0,Diesel,192.0,0.0,2.0,1105.0
9,20950.0,25.0,31461.0,Petrol,192.0,0.0,2.0,1185.0
10,19950.0,22.0,43610.0,Petrol,192.0,0.0,2.0,1185.0
11,19600.0,25.0,32189.0,Petrol,192.0,0.0,4.0,1185.0
12,21500.0,31.0,23000.0,Petrol,192.0,1.0,4.0,1185.0
13,22500.0,32.0,34131.0,Petrol,192.0,1.0,2.0,1185.0
14,22000.0,28.0,18739.0,Petrol,192.0,0.0,3.0,1185.0
15,17950.0,24.0,21716.0,Petrol,110.0,1.0,4.0,1105.0
16,16950.0,30.0,64359.0,Petrol,110.0,1.0,4.0,1105.0
17,15950.0,30.0,67660.0,Petrol,110.0,1.0,4.0,1105.0
